Model,Spacing,Accuracy,Set Size
Multi-Head Attention,1.2000000476837158,1.0,8
TopK,1.2000000476837158,1.0,8
Mean,1.2000000476837158,1.0,8
Multi-Head Attention,1.2000000476837158,1.0,32
TopK,1.2000000476837158,1.0,32
Mean,1.2000000476837158,1.0,32
Multi-Head Attention,1.2000000476837158,1.0,128
TopK,1.2000000476837158,1.0,128
Mean,1.2000000476837158,1.0,128
Baseline,1.25,0.9465000033378601,1
Multi-Head Attention,1.25,1.0,8
TopK,1.25,1.0,8
Mean,1.25,1.0,8
Multi-Head Attention,1.25,1.0,32
TopK,1.25,1.0,32
Mean,1.25,1.0,32
Multi-Head Attention,1.25,1.0,128
TopK,1.25,1.0,128
Mean,1.25,1.0,128
Baseline,1.2999999523162842,0.9467999935150146,1
Multi-Head Attention,1.2999999523162842,1.0,8
TopK,1.2999999523162842,1.0,8
Mean,1.2999999523162842,0.9998999834060669,8
Multi-Head Attention,1.2999999523162842,1.0,32
TopK,1.2999999523162842,1.0,32
Mean,1.2999999523162842,1.0,32
Multi-Head Attention,1.2999999523162842,1.0,128
TopK,1.2999999523162842,1.0,128
Mean,1.2999999523162842,1.0,128
Baseline,1.350000023841858,0.9562000036239624,1
Multi-Head Attention,1.350000023841858,0.9998999834060669,8
TopK,1.350000023841858,1.0,8
Mean,1.350000023841858,1.0,8
Multi-Head Attention,1.350000023841858,1.0,32
TopK,1.350000023841858,1.0,32
Mean,1.350000023841858,1.0,32
Multi-Head Attention,1.350000023841858,1.0,128
TopK,1.350000023841858,1.0,128
Mean,1.350000023841858,1.0,128
Baseline,1.399999976158142,0.9607999920845032,1
Multi-Head Attention,1.399999976158142,1.0,8
TopK,1.399999976158142,1.0,8
Mean,1.399999976158142,1.0,8
Multi-Head Attention,1.399999976158142,1.0,32
TopK,1.399999976158142,1.0,32
Mean,1.399999976158142,1.0,32
Multi-Head Attention,1.399999976158142,1.0,128
TopK,1.399999976158142,1.0,128
Mean,1.399999976158142,1.0,128
Baseline,1.4500000476837158,0.9635999798774719,1
Multi-Head Attention,1.4500000476837158,1.0,8
TopK,1.4500000476837158,1.0,8
Mean,1.4500000476837158,1.0,8
Multi-Head Attention,1.4500000476837158,1.0,32
TopK,1.4500000476837158,1.0,32
Mean,1.4500000476837158,1.0,32
Multi-Head Attention,1.4500000476837158,1.0,128
TopK,1.4500000476837158,1.0,128
Mean,1.4500000476837158,1.0,128
Baseline,1.5,0.9714999794960022,1
Multi-Head Attention,1.5,1.0,8
TopK,1.5,1.0,8
Mean,1.5,1.0,8
Multi-Head Attention,1.5,1.0,32
TopK,1.5,1.0,32
Mean,1.5,1.0,32
Multi-Head Attention,1.5,1.0,128
TopK,1.5,1.0,128
Mean,1.5,1.0,128
Baseline,0.05000000074505806,0.5407999753952026,1
Multi-Head Attention,0.05000000074505806,0.6018000245094299,8
TopK,0.05000000074505806,0.6022999882698059,8
Mean,0.05000000074505806,0.5972999930381775,8
Multi-Head Attention,0.05000000074505806,0.7081000208854675,32
TopK,0.05000000074505806,0.7035999894142151,32
Mean,0.05000000074505806,0.682200014591217,32
Multi-Head Attention,0.05000000074505806,0.8361999988555908,128
TopK,0.05000000074505806,0.82669997215271,128
Mean,0.05000000074505806,0.8504999876022339,128
Baseline,0.10000000149011612,0.5490000247955322,1
Multi-Head Attention,0.10000000149011612,0.6367999911308289,8
TopK,0.10000000149011612,0.6434999704360962,8
Mean,0.10000000149011612,0.6409000158309937,8
Multi-Head Attention,0.10000000149011612,0.7698000073432922,32
TopK,0.10000000149011612,0.7682999968528748,32
Mean,0.10000000149011612,0.7634000182151794,32
Multi-Head Attention,0.10000000149011612,0.9240000247955322,128
TopK,0.10000000149011612,0.8885999917984009,128
Mean,0.10000000149011612,0.9283000230789185,128
Baseline,0.15000000596046448,0.578499972820282,1
Multi-Head Attention,0.15000000596046448,0.7207000255584717,8
TopK,0.15000000596046448,0.7229999899864197,8
